cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
01000001-7,Rio Caquena En Guacollo (Ca),Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de General Lagos,Altiplanicas,3850,-17.75909623,-69.33563216
01000002-5,Rio Cosapilla En Cosapilla (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de General Lagos,Altiplanicas,3860,-17.76354565,-69.41038245
01000003-3,Rio Colpas En Visviri (Ca),Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de General Lagos,Altiplanicas,4050,-17.60400966,-69.50141614
01000005-K,Visviri,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Altiplanicas,4080,-17.59486929,-69.4767455
01001001-2,Rio Caquena En Nacimiento,Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4385,-18.07716651,-69.19612226
01001002-0,Rio Caquena En Vertedero,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-17.99782714,-69.25700849
01001003-9,Rio Colpacagua En Desembocadura,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.01898987,-69.23283558
01001005-5,Caquena,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4400,-18.05413965,-69.20167164
01001006-3,Canal El Embudo En Bt Caquena,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-17.99786312,-69.25714079
01010001-1,Lago Chungara,Lagos y Embalses,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Altiplanicas,4400,-17.97028541,-69.30176405
01010002-K,Rio Chungara En Desembocadura,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4518,-18.28695606,-69.135093
01010007-0,Chungara Reten,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4570,-18.28122354,-69.13818241
01010008-9,Missituni,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4720,-18.34801057,-69.13417496
01010009-7,Chungara Guarderia,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4600,-18.26717417,-69.11667695
01010010-0,Chungara Ajata,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4585,-18.23531598,-69.18325512
01010011-9,Lago Chungara-Sector Centro,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.24134784,-69.15939608
01010012-7,Lago Chungara-Ajata,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.23483202,-69.17889412
01010013-5,Lago Chungara-Sector Oeste,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.23161224,-69.12446603
01010014-3,Lago Chungara-Sopocalane,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.26434661,-69.15308806
01010015-1,Lago Chungara-Rio Chungara,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.28223803,-69.13510827
01020001-6,Laguna Cotacotani,Lagos y Embalses,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4500,-18.18356342,-69.20001376
01020002-4,Rio Desaguadero Cotacotani,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4500,-18.19055403,-69.25743125
01020003-2,Rio Lauca En Estancia El Lago,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4370,-18.23591714,-69.3338774
01020004-0,"Canal Lauca En Sifon N"" 1 (Km. 3.3)",Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4384,-18.2328096,-69.33293508
01020012-1,Canal Lauca En Bocatoma (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,0,-18.31689253,-69.46669503
01020013-K,Isla Blanca,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4540,-18.18606082,-69.21418188
01020014-8,Cotacotani,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4550,-18.19087942,-69.24356871
01020015-6,Parinacota Conaf Dga,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4420,-18.20162013,-69.26835133
01020016-4,Chucuyo Reten,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Camiña,Q. Rio Camarones,4400,-19.12228956,-69.3231051
01020017-2,Parinacota Ex Endesa,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4420,-18.20401518,-69.26844011
01020018-0,Chucuyo (Ex. Endesa),Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4400,-18.21828664,-69.32140679
01020019-9,Canal Lauca Sector Las Rejas Km 26 (Doh),Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4378,-18.33167126,-69.44722974
01020020-2,Canal Lauca En Chucuyo Km 0 (Doh),Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4397,-18.21639463,-69.31778102
01021001-1,Rio Lauca En Japu (O En El Limite),Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,3907,-18.58658765,-69.04878345
01021002-K,Rio Guallatire En Guallatire,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4280,-18.49658594,-69.15141748
01021004-6,Rio Guallatire En Desemb. Rio Loa (Ca),Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4100,-18.55363427,-69.15176146
01021005-4,Rio Lauca Despues De Quiburcanca (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4300,-18.58356679,-69.10001044
01021006-2,Estero Paquisa En Paquisa (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4580,-18.67562295,-69.12396135
01021007-0,Guallatire,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4240,-18.4974605,-69.15407071
01030003-7,Chilcaya,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4270,-18.79400557,-69.08467551
01041001-0,Rio Cariquima En Cariquima,Calidad de Aguas,Vigentes,Región de Tarapacá,Comuna de Colchane,Altiplanicas,4000,-19.45337971,-68.64314736
01041002-9,Rio Isluga En Bocatoma,Calidad de Aguas,Vigentes,Región de Tarapacá,Comuna de Colchane,Altiplanicas,4000,-19.27231177,-68.68303522
01041003-7,Colchane (T. Isluga),Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Colchane,Altiplanicas,3700,-19.27625905,-68.63814602
01041004-5,Enquelca (Ex Caraguano),Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Colchane,Altiplanicas,3900,-19.22799992,-68.80447334
01042001-6,Cancosa,Meteorológicas,Suspendidas,Región de Tarapacá,Comuna de Pica,Altiplanicas,3930,-19.85553334,-68.60165607
01042002-4,Huaytani,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Colchane,Altiplanicas,3950,-19.54394857,-68.60386575
01044001-7,Rio Cancosa En El Tambo,Calidad de Aguas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,4000,-19.85673108,-68.58790925
01050002-8,Rio Piga En Collacagua,Fluviométricas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,0,-20.03784539,-68.83308523
01050003-6,Rio Batea En Confluencia,Fluviométricas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,0,-20.04647632,-68.83410886
01050004-4,Rio Collacagua En Peñablanca,Calidad de Aguas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,3853,-20.10289128,-68.84352937
01050007-9,Coyacagua,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,4013,-20.0379059,-68.83019744
01050008-7,Jica - 10,Control de Nivel,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,3844,-20.20337623,-68.83264149
01050009-5,Diablo Marca,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,4585,-20.10378007,-68.96793465
01050010-9,Sillillica,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,3840,-20.16759281,-68.73730638
01051001-5,Vertiente El Ermitaño En Lag.Huasco,Fluviométricas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,3790,-20.26283548,-68.87561114
01051002-3,Vertiente Huasco Norte Lag.Huasco,Fluviométricas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,3790,-20.28312234,-68.88930919
01051003-1,Salar Huasco,Meteorológicas,Suspendidas,Región de Tarapacá,Comuna de Pica,Altiplanicas,3800,-20.27637011,-68.88611541
01051004-K,Altos Del Huasco,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,4044,-20.32119441,-68.89228047
01080001-3,Ujina,Meteorológicas,Vigentes,Región de Tarapacá,Comuna de Pica,Altiplanicas,4300,-20.98446976,-68.63559775
01080002-1,Collahuasi,Meteorológicas,Suspendidas,Región de Tarapacá,Comuna de Pica,Rio Loa,4250,-20.99638224,-68.8019368
01110001-5,Puquios,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,3750,-18.1749515,-69.74392863
01110003-1,La Concordia D2,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.3835632,-70.27228369
01110004-K,La Concordia B1,Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,29,-18.34784705,-70.36681192
01110005-8,La Concordia D4,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.33671505,-70.36040367
01110006-6,La Concordia D3,Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,51,-18.32799183,-70.35450703
01110007-4,La Concordia B2,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.34272787,-70.36997944
01110008-2,La Concordia B3,Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,30,-18.34538437,-70.3662248
01110009-0,Aeropuerto Chacalluta A1,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.36967228,-70.33200473
01110010-4,La Concordia B4,Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,28,-18.34309032,-70.36984036
01110012-0,Pozo Jica B,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40473675,-70.28821918
01110013-9,Pozo Gallinazos,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.41028433,-70.31210625
01110014-7,B - 10,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.35500156,-70.32361183
01110015-5,B - 2,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.33978779,-70.36699425
01110016-3,D - 1B,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.31694946,-70.3144476
01110017-1,D - 4,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.33305908,-70.35861514
01200002-2,Villa Industrial (Tacora),Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,4080,-17.77196483,-69.72420641
01200003-0,Humapalca,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3980,-17.83522551,-69.70385154
01200004-9,Volcan Tacora,Glaciológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,5047,-17.69416809,-69.77278548
01201001-K,Rio Colpitas En Alcerreca,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3251,-17.99531842,-69.62756018
01201002-8,Rio Caracarani En Alcerreca,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3253,-17.98695879,-69.63012801
01201003-6,Rio Lluta En Alcerreca,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3550,-18.00368921,-69.63268115
01201004-4,Rio Caracarani Antes Rio Azufre (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3970,-17.78355235,-69.71670577
01201005-2,Rio Caracarani En Humapalca,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3908,-17.83853292,-69.70651636
01201008-7,Rio Azufre Antes Rio Caracarani (Ca),Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3970,-17.80612226,-69.71632408
01201010-9,Alcerreca,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,3990,-17.99067162,-69.6605548
01201011-7,Meteorologica De Colpitas,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de General Lagos,Rio Lluta,4140,-17.95328033,-69.45252039
01202009-0,Pacollo,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Rio Lluta,4185,-18.17717206,-69.50919307
01202010-4,Putre,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Rio Lluta,3545,-18.19939011,-69.56030405
01202011-2,Las Cuevas Conaf,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Rio Lluta,4060,-18.21078207,-69.51030258
01202012-0,Putre (Dcp),Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio Lluta,3560,-18.19488366,-69.55907925
01202013-9,Quebrada Socoroma,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio Lluta,2975,-18.25606291,-69.6064211
01210001-9,Rio Lluta En Tocontasi,Sedimentometricas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,1850,-18.37310398,-69.91609929
01210002-7,Rio Lluta En El Molino,Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.35139069,-69.87299837
01210003-5,Rio Lluta En Chapisca,Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.3702926,-69.88764149
01210005-1,Vertiente Al Pichin,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,654,-18.41194937,-70.04347907
01210006-K,Apr Lluta,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.42138928,-70.04417031
01210007-8,Quiborax S.A.,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.39639665,-69.97889084
01210008-6,Rio Lluta Aguas Arriba Embalse Chironta (Ef-1 Ec),Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,1786,-18.29417445,-69.73556096
01210009-4,Rio Lluta Aguas Abajo Embalse Chironta (Ef-2 Ec),Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,1651,-18.31334036,-69.75944929
01210010-8,Coronamiento Presa Embalse Chironta (Em Ec),Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,1759,-18.31027806,-69.75222572
01211001-4,Rio Lluta En Panamericana,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,10,-18.39935821,-70.29647123
01211006-5,Lluta,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,290,-18.41051239,-70.16921966
01211007-3,J - B (Pozos Jica),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40223174,-70.28850346
01211008-1,J - 1 (Pozos Jica),Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,224,-18.41856076,-70.20589298
01211009-K,J - 2 (Pozos Jica),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40190081,-70.26783675
01211010-3,J - A (Pozos Jica),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.41134846,-70.22862903
01211011-1,Lluta N°1A,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.41000742,-70.19806128
01211012-K,Lluta N°3,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40222337,-70.24638901
01211013-8,Lluta Nº18C,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.41416704,-70.10361872
01211014-6,Lluta Nº23,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40639327,-70.15416841
01211015-4,Rila Chile Ltda.,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.39389071,-70.28722985
01300001-8,Rio Ticnamar En Ticnamar,Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3800,-18.53273195,-69.54335994
01300002-6,Rio Laco En Cosapilla,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3000,-18.38361289,-69.56611234
01300004-2,Murmuntane,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3550,-18.35217523,-69.55197352
01300005-0,Portezuelo Chapiquiña,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Putre,Altiplanicas,4375,-18.32745039,-69.46613659
01300006-9,Central Chapiquiña,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3350,-18.37200727,-69.5478905
01300007-7,Belen,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3240,-18.4677423,-69.51698617
01300008-5,Tignamar,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3230,-18.58106593,-69.49412608
01300009-3,Rio Ticnamar En Angostura,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,3010,-18.51385057,-69.56541185
01300010-7,Copaquilla,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Rio San Jose,2900,-18.39750094,-69.63306258
01310002-0,Rio San Jose En Ausipar,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,1300,-18.586213,-69.81124902
01310003-9,Rio San Jose Antes Bocatoma Azapa,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,960,-18.58080111,-69.96446329
01310004-7,Acueducto Azapa En Bocatoma,Fluviométricas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,960,-18.58222223,-69.88860002
01310016-0,Vertiente Conchalique (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.51689981,-70.21672537
01310018-7,Arica Oficina,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,20,-18.47767154,-70.32071488
01310019-5,Azapa,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,365,-18.51626549,-70.17992973
01310020-9,La Rivera,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,310,-18.52856233,-70.16422218
01310021-7,U. Del Norte,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,55,-18.48356911,-70.29367478
01310022-5,El Buitre Aerodromo,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,110,-18.51217922,-70.2842282
01310024-1,Las Riveras De Madrid,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,545,-18.53122021,-70.16404124
01310026-8,Las Maitas L Violetas,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.55023051,-70.18338416
01310027-6,Las Vargas,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,131,-18.50788857,-70.24615729
01310032-2,Algodonal,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.45856728,-70.26394377
01310033-0,Saucache,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.45023509,-70.30144481
01310034-9,Avenida Balmaceda,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.48330238,-70.28757609
01310035-7,Facundo Gutierrez,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.51578508,-70.0083846
01310036-5,Escuela Chitita N 28,Control de Nivel,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,613,-18.57450585,-70.05494442
01310037-3,Centella (San Miguel De Azapa),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.55190218,-70.05699418
01310038-1,Suc. Ramos (Cerro Moreno),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.57523634,-70.03893424
01310045-4,Pago Gomez San Elias,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.51689449,-70.18339153
01310046-2,Las Maitas,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.55578859,-70.18617013
01310048-9,Avenida Azola Jv,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.40300515,-70.25255708
01310051-9,Olivarera Azapa,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio Lluta,0,-18.41689847,-70.30561488
01310061-6,Las Animas,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,179,-18.50328376,-70.21922439
01310062-4,Hospital,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Quebrada de la Concordia,0,-18.3335615,-70.16672364
01310063-2,Barrio Industrial (Cormet),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,25,-18.4832912,-70.21699941
01310064-0,Pascual Roco (Noria 062),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,334,-18.54078103,-70.14332011
01310065-9,Las Dunas (Dorotea Sorta),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.48356067,-70.22006032
01310066-7,Loteo Algodonal (Velez),Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,105,-18.49689688,-70.20339038
01310067-5,Hotel El Paso,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,6,-18.47669253,-70.31466555
01310069-1,Santa Irene Sur,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,412,-18.52875576,-70.16215832
01310070-5,Escuela G-9,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,226,-18.50772991,-70.17783473
01310071-3,Motel Azapa,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.4960682,-70.28144667
01310072-1,Pago Gomez,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.50634359,-70.24199745
01310073-K,Escuela Chitita,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.5768975,-70.05226789
01310074-8,San Juan Ocurica,Control de Nivel,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.50634091,-70.25199966
01310075-6,Pozo Albarracines,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.51140875,-70.21904512
01310076-4,Apr Cerro Moreno,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.53944955,-70.1333352
01310077-2,Apr Cerro Sombrero,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.50611723,-70.26389457
01310078-0,Apr Pampa Algodonal,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.57417366,-69.96333624
01310079-9,Apr San Miguel,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.515281,-70.17694862
01310080-2,Apr Sobraya,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.57945302,-70.02305837
01310081-0,Cabuza 1,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.53972826,-70.09527994
01310082-9,Pozo Tucapel,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Arica,Rio San Jose,0,-18.47833324,-70.29555793
01410002-4,Rio Codpa En Chitita,Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Camarones,Costeras R. San Jose-Q.Camarones,1750,-18.82738024,-69.68532683
01410003-2,Rio Codpa En Pueblo,Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de Camarones,Costeras R. San Jose-Q.Camarones,1290,-18.82884825,-69.75003253
01410004-0,Rio Codpa En Cala-Cala,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Camarones,Costeras R. San Jose-Q.Camarones,1745,-18.82840007,-69.66828516
01410011-3,Chaca,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Arica,Costeras R. San Jose-Q.Camarones,350,-18.81717694,-70.15005279
01410012-1,Codpa,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Camarones,Costeras R. San Jose-Q.Camarones,1870,-18.83237009,-69.74393589
01410013-K,Umirpa,Meteorológicas,Vigentes,Región de Arica y Parinacota,Comuna de Putre,Costeras R. San Jose-Q.Camarones,3920,-18.75055856,-69.360007
01501001-0,Caritaya Embalse,Meteorológicas,Suspendidas,Región de Arica y Parinacota,Comuna de Camarones,Q. Rio Camarones,3600,-19.02495956,-69.33613448
01502001-6,Rio Camarones En Taltape,Fluviométricas,Suspendidas,Región de Arica y Parinacota,Comuna de Camarones,Q. Rio Camarones,0,-18.98466951,-69.73588882
01502002-4,Rio Camarones En Conanoxa,Calidad de Aguas,Vigentes,Región de Arica y Parinacota,Comuna de Camarones,Q. Rio Camarones,710,-19.04789996,-69.98624022
01502004-0,Rio Camarones En Esquina (Ca),Calidad de Aguas,Suspendidas,Región de Arica y Parinacota,Comuna de Camarones,Q. Rio Camarones,2050,-18.94112899,-69.53534081
